full_site_name,site_code,management_unit,manager,lat,long,transect,site.description,site_hash
Arcade Way Reserve,arcade,Burnt,MVCC,-37.748858,144.854369,1,"Patchy burn, south side of path. Pimelea recruitment, blue devils,  Pea things Diuris orchid. Slightly sloping topography from north to south. Pale swamp everlasting (appears like Chrysocephalum)",11371
JH Allen Reserve,jhallen,All,MVCC,-37.748384,144.858951,2,"Blue Devil, Found yellow pea flower from transect 1, more biomass than site 1, convolvulus, caleocephalus, Acaena. Flat topography, controlled burn earlier this year. Strong edge effects, pedestrian traffic,_playground embedded in grassland.",62230
Paramount Grassland,paramount,West,BRIMBANK,-37.786136,144.784428,3,"Site broken into 2 sections. Lots of daisies in patchies, suspect seeding, Surrounded by industrial land. WC because burn didn't occur in last year!",60927
Bon Thomas Reserve,bonthomas,unburnt,BRIMBANK,-37.773182,144.758667,4,"Themeda next to railway surrounded by housing to E, N, W. Recently disturbed soil nearby fron construction works (outside of fenced grassland), weird disturbed bald patches, lots of biomass. Part burnt, part unburnt?",62337
Bon Thomas Reserve,bonthomas,burnt,BRIMBANK,-37.773034,144.758073,5,"Burn appeared to run out, did another transect",62337
Isabella Williams Memorial Reserve,isabella,EAST,BRIMBANK,-37.749587,144.759076,6,"Appears to be a few different management areas, some with lots of avena. Transect in area which seems to have been burnt recently. Blue devils_chrysocephalum.",86089
Denton Grassland,denton,Burnt,BRIMBANK,-37.76552,144.815072,7,Located in denton grassland reserve management unit 62. South east of resreve surrounded by lots of Avena_non native grassland. Site contains lots of basalt rocks_good native species diversity. M2 = management zone.,64028
Matthews Hill Grassland,matthews,West,BRIMBANK,-37.794157,144.840264,8,"Next to burnt patch_direct seeding, narrow linear strip, approximately 10m wide, running parallell to fence line adjoining park with playground. 2 50m transects undertaken. Patch situated within  large, poor quality grassland dominated by Avena sp._Nasella sp..",950
Evans Street Native Grassland,evans,North West,HUME_FOES,-37.585777,144.724511,9,"Evidence of burning, 50m from railway tracks, lots of forbs obvious to naked eye. Dry cracking soil. Some obvious weeds. Pete impromptu meeting: Railway, higher quality but older burn.",23254
Evans Street Native Grassland,evans,South East,HUME_FOES,-37.583295,144.725616,10,"More recent evidence of burning - more disturbed also though? Evidenced by lots of plantago. This reflects what Pete said about the burn: Roadside, was mostly to control weeds, but was more recent burn.",23254
