full_site_name,site_code,management_unit,manager,lat,long,transect,sub_transect,quadrat_sub_transect,bearing,site_hash,fiona_notes,site.description
Arcade Way Reserve,arcade,Burnt,MVCC,-37.74887,144.85434,1,a,1,132,11371,Slashed? and some evidence of fire?,"Patchy burn, south side of path. Pimelea recruitment, blue devils,  Pea things Diuris orchid. Slightly sloping topography from north to south. Pale swamp everlasting (appears like Chrysocephalum)"
Arcade Way Reserve,arcade,Burnt,MVCC,-37.74884,144.85445,1,b,6,120,11371,Slashed? and some evidence of fire?,"Patchy burn, south side of path. Pimelea recruitment, blue devils,  Pea things Diuris orchid. Slightly sloping topography from north to south. Pale swamp everlasting (appears like Chrysocephalum)"
JH Allen Reserve,jhallen,All,MVCC,-37.74831,144.85875,2,NA,NA,90,62230,"No apparent management but may be  slashed occasionally. mown, at edge of grassland","Blue Devil, Found yellow pea flower from transect 1, more biomass than site 1, convolvulus, caleocephalus, Acaena. Flat topography, controlled burn earlier this year. Strong edge effects, pedestrian traffic, and playground embedded in grassland."
Paramount Grassland,paramount,West,BRIMBANK,-37.786136,144.784428,3,NA,NA,190,60927,Burnt?; spot sprayed; rabbits, 
Bon Thomas Reserve,bonthomas,unburnt,BRIMBANK,-37.773182,144.758667,4,a,1,110,62337,Burnt 1-2 years ago?,"Themeda next to railway surrounded by housing to E, N, W. Recently disturbed soil nearby fron construction works (outside of fenced grassland), weird disturbed bald patches, lots of biomass. Part burnt, part unburnt?"
Bon Thomas Reserve,bonthomas,unburnt,BRIMBANK,-37.77312,144.75795,4,b,6,110,62337,Burnt 1-2 years ago?,"Themeda next to railway surrounded by housing to E, N, W. Recently disturbed soil nearby fron construction works (outside of fenced grassland), weird disturbed bald patches, lots of biomass. Part burnt, part unburnt?"
Isabella Williams Memorial Reserve,isabella,EAST,BRIMBANK,-37.749587,144.759076,6,NA,NA,15,86089,"Unburnt, no apparent management","Appears to be a few different management areas, some with lots of avena. Transect in area which seems to have been burnt recently. Blue devils and chrysocephalum."
Denton Grassland,denton,Burnt,BRIMBANK,-37.76559,144.81543,7,NA,NA,195,64028,None for at least 3 yrs? Possibly slashed,Located in denton grassland reserve management unit 62. South east of resreve surrounded by lots of Avena and non native grassland. Site contains lots of basalt rocks and good native species diversity. M2 = management zone.
Matthews Hill Grassland,matthews,West,BRIMBANK,-37.794157,144.840264,8,NA,NA,104,950,Sprayed 10/11/15; rabbits; scraped (@7) so extra quadrat done = #11,"Next to burnt patch and direct seeding, narrow linear strip, approximately 10m wide, running parallell to fence line adjoining park with playground. 2 50m transects undertaken. Patch situated within  large, poor quality grassland dominated by Avena sp. and Nasella sp.."
Evans Street Native Grassland,evans,North West,HUME + FOES,-37.58351,144.72601,9,NA,NA,200,23254,Burnt,"Evidence of burning, 50m from railway tracks, lots of forbs obvious to naked eye. Dry cracking soil. Some obvious weeds. Pete impromptu meeting: Railway, higher quality but older burn."
Evans Street Native Grassland,evans,South East,HUME + FOES,-37.583295,144.725616,10,NA,NA,25,23254,"Mainly unburnt but evidence of fire in a couple of patches (q4), rabbit grazing","More recent evidence of burning - more disturbed also though? Evidenced by lots of plantago. This reflects what Pete said about the burn: Roadside, was mostly to control weeds, but was more recent burn."
Maygar Grasslands,maygar,East half,HUME,-37.6737,144.94298,11,NA,NA,200,66604,Spot sprayed; burnt autumn 2014?,"Evidence of recent burning, charcoal themeda stumps. Avena and Briza patches. Convolvulous obcious, uneven ground, cracking dry soils, clayish."
Malcolm Creek Grasslands,malcolm,Zone E - non-burnt,HUME,-37.58458,144.928225,13,a,1,134,51421,NA,"Very weedy, start at star picket ~ 25m from road, towards the creek. Some basalt rocks on surface. Evidence of burning but not so recent."
Malcolm Creek Grasslands,malcolm,Zone E - non-burnt,HUME,-37.58458,144.928225,13,b,6,134,51421,NA,"Very weedy, start at star picket ~ 25m from road, towards the creek. Some basalt rocks on surface. Evidence of burning but not so recent."
Pimelea Terrace Grassland,pimelea,Pimelea 2,VIC UNI + FOI,-37.761786,144.800471,14,NA,NA,160,69353,"Burnt and sprayed. EG: from iramoo website, burnt in the last week of november 2014.","Very weedy, Avena, 3 * burn patches that were inked together. Observed 2 pimelea spp. Situated within poor quality grassland dominated by Avena  sp. and patches that hadn't been burnt in a long time (senescing grasses). Creek along one side of grassland. Housing on all other 3 sides. Part of a network of grasslands connected via creek."
Pioneer Park Grassland,pioneer,East patch-West grassland,BRIMBANK,-37.68771,144.75977,15,a,1,350,54492,Burnt autumn 2015?,"E-W downhill slope. All forbs re-introduced, see notes from Simon talk. Evidence of recent burn  - Themeda stumps. Exposed basalt rock. Delma impar sighted over last few weeks. Cracking soils. ~200m from Train (parallel transect) erpendicular to dry stone wall ~ 25m south of it."
Pioneer Park Grassland,pioneer,East patch-West grassland,BRIMBANK,-37.687739,144.759936,15,b,6,350,54492,Burnt autumn 2015?,"E-W downhill slope. All forbs re-introduced, see notes from Simon talk. Evidence of recent burn  - Themeda stumps. Exposed basalt rock. Delma impar sighted over last few weeks. Cracking soils. ~200m from Train (parallel transect) erpendicular to dry stone wall ~ 25m south of it."
Emma Street Grassland,emma,South East,MORELAND + MCMC,-37.70588,144.97807,16,a,5,355,28270,Slashing and spot spraying,"Very small reserve. Approximately 40x40m. Good quality - better than Jukes Rd? lots Themeda and flowering wahlenbergias. Mowed on all edges. Trees in centre (acacia pycnantha, acacia melanoxylon, cassinia). Surveyed south east corner, realtively low biomass compared to other corners. Obvious geraniums and bluebells in intertussock spaces."
Emma Street Grassland,emma,South East,MORELAND + MCMC,-37.70587,144.97792,16,b,1,355,28270,Slashing and spot spraying,"Very small reserve. Approximately 40x40m. Good quality - better than Jukes Rd? lots Themeda and flowering wahlenbergias. Mowed on all edges. Trees in centre (acacia pycnantha, acacia melanoxylon, cassinia). Surveyed south east corner, realtively low biomass compared to other corners. Obvious geraniums and bluebells in intertussock spaces."
Emma Street Grassland,emma,South East,MORELAND + MCMC,-37.70588,144.97807,16,c,6,355,28270,Slashing and spot spraying,
Central Creek Grassland,central,N2,DAREBIN AND MCMC,-37.69498,144.98332,18,NA,NA,10,29228,"Burnt, no obvious weed control; grazing kangaroos and rabbits","Blue devil, good burn, low biomass. 1 year, less? ~5m from Drainage line (transect to its north). North to South downhill slope. Merri Creek on western side. Heavier soils, more clay than Jukes and Emma st? light brown"
Ptilotus Grassland,ptilotus,Featherheads 3 - South West,VIC UNI + FOI,-37.767485,144.779905,20,a,1,10,28618,Hot fire; sprayed,Appears much more diverse than iramoo. Burnt approximately 1 year ago from observations>
Ptilotus Grassland,ptilotus,Featherheads 3 - South West,VIC UNI + FOI,-37.767485,144.779905,20,b,7,10,28618,Hot fire; sprayed,Appears much more diverse than iramoo. Burnt approximately 1 year ago from observations>
Central Creek Grassland,central,S1,DAREBIN AND MCMC,-37.69654,144.98405,21,NA,NA,185,29228,Burnt 1 year ago?,"Burnt approximately 1 year ago - Tricoryne, chocolate lillies, obvious diversity (convolvulous and blue devils also) ~20m from truck, 1st  pole. "
Cobbledicks Ford Reserve,cobbledicks,top-paddock (mz11),WYNDHAM,-37.81881,144.58165,22,a,1,225,26678,"Fenced, planted, spot spraying serrated tussock, CNG and Galenia","Very sloping. Moist soil, not cracking, fenced areas sampled only. Weed control, tube-stock evidence also observed? Forbs and enhancement planting. Spoke to Doug. Burnt in Autumn 2013. See Rachelle's bookmark."
Cobbledicks Ford Reserve,cobbledicks,top-paddock (mz11),WYNDHAM,-37.818534,144.581843,22,b,7,225,26678,"Fenced, planted, spot spraying serrated tussock, CNG and Galenia","Very sloping. Moist soil, not cracking, fenced areas sampled only. Weed control, tube-stock evidence also observed? Forbs and enhancement planting. Spoke to Doug. Burnt in Autumn 2013. See Rachelle's bookmark."
Cobbledicks Ford Reserve,cobbledicks,top-paddock (mz11),WYNDHAM,-37.818534,144.581843,22,c,9,225,26678,"Fenced, planted, spot spraying serrated tussock, CNG and Galenia","Very sloping. Moist soil, not cracking, fenced areas sampled only. Weed control, tube-stock evidence also observed? Forbs and enhancement planting. Spoke to Doug. Burnt in Autumn 2013. See Rachelle's bookmark."
