transect_number,size,date,orientation,assistant,management,burn_season,years_since,biomass_reduction_year
1,0.43,2014-10-27,132 SE,HP,FIRE + WC,summer,0.75,2014
2,0.5,2014-10-27,119 SE,HP,FIRE + WC,summer,0.75,2014
3,3.34,2014-10-27,230 SW,HP,WC,autumn,1.5,2013
4,0.465,2014-10-28,290 W,HP,WC,autumn,2.5,2012
5,0.465,2014-10-28,209 SW,HP,WC,autumn,2.5,2012
6,1.73,2014-10-28,195 S,HP,WC,autumn,3.5,2011
7,0.65,2014-10-29,163 S,VH,WC,spring,1.0,2013
8,0.289,2014-10-29,104 E,VH,OSF + WC,spring,1.0,2013
9,0.614,2014-11-03,11 N,EP,FIRE + WC,autumn,0.75,2014
10,0.782,2014-11-03,356 N,EP,FIRE + WC,autumn,0.25,2014
11,1.14,2014-11-04,200 S,AJ,FIRE + WC,autumn,0.5,2014
12,1.184,2014-11-04,242 SW,AJ,FIRE + WC,autumn,0.5,2014
13,2.66,2014-11-05,134 SE,ZS,FIRE + WC,summer,0.75,2014
13,1.184,2014-11-05,134 SE,ZS,FIRE + WC,summer,0.75,2014
14,0.77,2014-11-12,178 S,RG,FIRE + WC,autumn,0.5,2014
15,0.78,2014-11-12,351 NW,RG,FIRE + WC,autumn,0.5,2014
16,0.055,2014-11-13,329 NW,LR,FIRE + WC,autumn,0.5,2014
17,0.179,2014-11-13,190 SW,LR,Slashing_WC,autumn,1.0,2014
18,1.04,2014-11-13,10 N,LR,FIRE + WC,autumn,0.5,2014
19,3.0,2014-11-14,92 E,SC,FIRE + WC,autumn,0.5,2014
20,0.83,2014-11-14,250W,SC,OSF + WC,autumn,1.5,2013
21,0.768,2014-11-14,185 S,SC,OSF + WC,autumn,1.5,2013
22,0.227,2014-11-17,198 S,RG,OSF + WC,autumn,1.5,2013
23,0.64,2014-11-18,120 SE,FR,WC,spring,1.0,2013
24,3.3,2014-11-18,130 SE,FR,FIRE + WC,autumn,0.5,2014
25,0.953,2014-11-18,9 NE,FR,WC,spring,1.0,2013
26,10.8,2014-11-20,239 SW,GR,FIRE + WC,autumn,0.5,2014
27,15.0,2014-11-20,265 W,GR,DN,autumn,8.5,2006
28,59.9,2014-11-21,85 N,ZC,FIRE + WC,autumn,0.5,2014
29,0.226,2014-12-06,15 S,LD,WC,autumn,1.5,2013
30,0.664,2014-12-06,13 N,LD,WC,autumn,2.5,2012
31,3.58,2014-12-12,91 W,DG+PG,FIRE + WC,autumn,0.5,2014
32,3.26,2014-12-12,92 W,DG+PG,WC,autumn,3.5,2011
33,0.589,2014-12-17,11 NE,TS,WC,autumn,5.5,2009
34,0.415,2014-12-16,25 NE,SC,FIRE + WC,autumn,2.5,2014
35,0.638,2014-12-16,345 NW,SC,WC,spring,0.5,2012
36,0.043,2014-12-16,329 NW,SC,WC,winter,0.5,2012
37,1.15,2014-12-17,10 NE,SC,FIRE + WC,autumn,0.5,2014
38,0.28,2014-12-19,15 NE,SC,WC,summer,1.75,2013
